"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"MCM5",5.447261,5.31496,6.066798,5.684033,5.476509,4.860923,5.556208,5.549138
"MCM6",6.368562,6.28662,6.578198,6.632199,6.206644,6.146283,6.835157,6.879533
"MCM7",6.491207,6.716204,6.985015,6.971505,6.305579,6.004344,6.654384,6.635353
"MCM8",5.182016,5.120266,5.169401,5.30766,5.221345,5.564918,5.64233,5.570127
"MCM9",2.696218,2.014056,2.630042,2.03397,2.283327,2.770041,2.413885,2.413885
"MCMBP",6.5218,6.656424,6.842961,7.420043,6.575585,7.014823,7.199959,7.060603
"MCOLN1",3.368234,3.388456,3.22511,3.77467,3.63186,3.67603,3.060642,2.946847
"MCOLN2",1.24843,2.241934,1.211855,1.377645,1.768009,1.560171,2.669596,1.707306
"MCOLN3",2.160163,1.940114,1.60172,2.03397,2.406344,2.35805,2.474965,2.187849
"MCPH1",4.889323,4.96148,5.590477,5.518696,5.150835,5.519621,5.401895,5.160148
"MCRS1",4.985951,5.05548,4.680472,4.836526,4.510814,4.591173,4.903102,4.840071
"MCTP1",3.430815,3.264204,3.264204,3.070661,3.247054,3.67603,3.874061,3.842868
"MCTS1",7.711823,7.742915,7.63909,7.865146,7.908413,7.801236,7.651268,7.790586
"MCU",5.428171,5.387043,5.110691,5.221345,4.868182,4.996456,5.344866,5.276952
